YearMonth,Other,China Only,US Only,US-China Collaboration,US-Non China,China-Non US
2006-04,0.9090909086859503,9.090909085950413e-11,0.09090909095041323,9.090909085950413e-11,9.090909085950413e-11,9.090909085950413e-11
2006-05,0.7272727269669421,0.09090909095041323,0.18181818180991735,9.090909085950413e-11,9.090909085950413e-11,9.090909085950413e-11
2006-06,0.74999999978125,0.0625000000390625,0.1874999999921875,6.24999999765625e-11,6.24999999765625e-11,6.24999999765625e-11
2006-07,0.7272727269669421,0.09090909095041323,0.18181818180991735,9.090909085950413e-11,9.090909085950413e-11,9.090909085950413e-11
2006-08,0.7692307689526627,0.153846153852071,0.07692307696449704,7.692307688757397e-11,7.692307688757397e-11,7.692307688757397e-11
2006-09,0.7058823527508651,0.11764705884083045,0.11764705884083045,5.882352939100347e-11,0.058823529449826994,5.882352939100347e-11
2006-10,0.38095238089115646,0.09523809525850341,0.38095238089115646,4.761904760544218e-11,0.14285714286394557,4.761904760544218e-11
2006-11,0.45454545438842975,0.09090909095041323,0.3636363635289256,9.090909085950413e-11,9.090909085950413e-11,0.09090909095041323
2006-12,0.4999999999090909,0.2727272726983471,0.22727272725619835,4.5454545442148764e-11,4.5454545442148764e-11,4.5454545442148764e-11
2007-01,0.599999999896,0.0400000000304,0.3599999999536,3.9999999990400004e-11,3.9999999990400004e-11,3.9999999990400004e-11
2007-02,0.5416666665729166,4.166666665625e-11,0.33333333329166664,0.04166666669791667,0.08333333335416666,4.166666665625e-11
2007-03,0.7692307689526627,7.692307688757397e-11,0.23076923073964498,7.692307688757397e-11,7.692307688757397e-11,7.692307688757397e-11
2007-04,0.833333333,0.083333333375,0.083333333375,8.333333329166667e-11,8.333333329166667e-11,8.333333329166667e-11
2007-05,0.6521739129168241,0.04347826090170132,0.3043478260510397,4.3478260858223065e-11,4.3478260858223065e-11,4.3478260858223065e-11
2007-06,0.59999999974,9.999999994e-11,0.29999999992,0.10000000004000001,9.999999994e-11,9.999999994e-11
2007-07,0.6153846151775147,7.692307688757397e-11,0.3846153845147929,7.692307688757397e-11,7.692307688757397e-11,7.692307688757397e-11
2007-08,0.5454545452479339,0.2727272726694215,0.18181818180991735,9.090909085950413e-11,9.090909085950413e-11,9.090909085950413e-11
2007-09,0.42105263149861494,0.0526315789833795,0.5263157893601108,5.2631578930747926e-11,5.2631578930747926e-11,5.2631578930747926e-11
2007-10,0.636363636107438,9.090909085950413e-11,0.2727272726694215,0.09090909095041323,9.090909085950413e-11,9.090909085950413e-11
2007-11,0.5384615382899408,0.07692307696449704,0.3846153845147929,7.692307688757397e-11,7.692307688757397e-11,7.692307688757397e-11
2007-12,0.6999999998399999,4.9999999985e-11,0.29999999996,4.9999999985e-11,4.9999999985e-11,4.9999999985e-11
2008-01,0.7142857140510204,0.07142857146938776,0.21428571426530613,7.142857139795919e-11,7.142857139795919e-11,7.142857139795919e-11
2008-02,0.5882352939688581,5.882352939100347e-11,0.3529411764048443,5.882352939100347e-11,0.058823529449826994,5.882352939100347e-11
2008-03,0.6999999998399999,0.150000000005,0.10000000002000001,4.9999999985e-11,0.050000000035000006,4.9999999985e-11
